0,1,2,3,4,5,6,7,8,9,10,11,12,13
U1001,0,0,2,0,1,1,1,1989,4,3,4,1,2
U1002,0,0,2,0,2,1,1,1990,3,2,0,1,1
U1003,0,2,1,0,2,1,1,1989,1,1,0,1,1
U1004,0,0,2,0,2,1,1,1940,4,1,4,0,2
U1005,0,0,3,0,2,1,1,1992,1,3,0,1,2
U1006,1,2,3,1,0,1,1,1989,4,1,4,1,2
U1007,0,1,2,2,2,1,1,1989,4,3,0,1,1
U1008,0,2,1,2,2,1,1,1989,3,1,0,1,1
U1009,0,0,1,0,1,1,2,1991,4,3,0,1,2
U1010,0,2,3,1,0,0,2,1987,3,1,4,1,2
U1011,0,0,3,0,2,1,1,1989,4,1,0,1,2
U1012,0,1,1,0,2,1,1,1988,3,1,0,1,2
U1013,0,0,3,1,2,2,1,1982,2,3,4,0,2
U1015,1,2,2,0,2,1,1,1989,3,3,0,1,2
U1016,0,1,2,1,1,1,1,1991,0,3,0,1,2
U1018,1,1,1,1,2,1,1,1989,3,3,1,1,1
U1019,0,1,3,0,2,1,1,1989,4,3,0,1,2
U1020,0,0,3,1,2,1,1,1982,3,1,0,0,2
U1021,0,2,3,0,0,1,0,1984,1,1,0,1,2
U1022,0,1,1,0,0,1,1,1990,4,1,0,1,2
U1023,0,1,2,1,0,1,1,1988,1,1,0,1,1
U1026,0,0,1,0,2,1,1,1989,3,2,0,1,2
U1028,0,0,3,0,2,1,1,1989,4,1,1,1,2
U1029,1,1,1,0,2,1,1,1990,4,0,0,1,1
U1030,0,1,1,0,1,1,1,1991,0,1,0,1,2
U1032,0,0,1,0,2,1,1,1989,4,1,0,1,2
U1034,0,1,2,0,2,1,1,1990,3,3,0,1,2
U1035,1,1,3,1,0,1,1,1985,4,2,4,1,2
U1036,0,2,2,0,2,1,1,1991,1,1,0,1,2
U1037,0,2,3,0,2,1,1,1990,4,3,0,1,1
U1038,1,2,3,0,2,1,1,1930,4,3,0,1,1
U1040,0,0,3,1,2,1,1,1994,1,3,0,1,2
U1041,0,0,3,1,1,1,1,1985,0,2,0,0,2
U1042,0,0,3,0,0,1,1,1943,3,3,1,1,0
U1043,0,0,3,2,2,1,1,1989,3,1,4,1,2
U1044,1,2,2,0,0,0,2,1969,4,3,0,0,2
U1045,0,1,0,1,0,1,1,1991,3,3,3,1,0
U1046,0,2,3,1,0,1,1,1990,2,1,0,1,2
U1047,0,0,3,0,2,1,1,1992,2,3,0,1,2
U1050,0,2,3,0,0,1,1,1989,4,1,4,1,2
U1051,0,1,3,0,2,1,1,1979,4,3,4,0,2
U1052,1,2,3,0,1,1,1,1990,1,0,0,1,1
U1053,0,1,2,0,2,1,1,1990,4,3,0,1,1
U1054,0,2,1,0,2,1,1,1992,3,3,0,1,2
U1055,0,0,3,0,0,0,0,1952,1,1,0,0,2
U1056,0,2,2,0,1,1,1,1930,1,1,0,1,2
U1057,1,1,1,1,2,1,1,1989,3,2,0,1,2
U1058,0,0,1,0,2,1,1,1991,4,1,0,1,1
U1059,0,0,1,1,1,1,1,1987,3,3,0,1,2
U1060,0,1,1,0,2,1,1,1991,3,3,0,1,2
U1061,0,2,3,1,0,1,1,1990,1,1,0,0,2
U1062,0,1,2,1,0,1,1,1985,4,1,0,1,2
U1063,0,1,1,0,2,1,1,1988,0,0,0,1,2
U1064,0,1,1,2,2,1,1,1991,4,2,4,1,2
U1065,0,0,1,1,2,1,1,1989,3,0,0,1,2
U1067,0,0,3,0,2,1,1,1987,3,3,1,1,2
U1068,0,1,2,1,2,1,1,1988,3,3,0,1,1
U1069,0,2,3,0,2,1,1,1983,4,3,0,0,2
U1070,0,1,2,1,2,1,1,1991,4,3,0,1,1
U1071,0,0,1,1,0,1,1,1930,1,2,4,1,0
U1072,0,1,3,0,2,1,1,1984,0,3,1,1,2
U1073,0,0,2,2,0,2,2,1989,1,1,4,2,2
U1074,1,1,3,0,0,1,2,1967,0,1,0,0,2
U1075,0,1,2,0,0,1,1,1991,3,3,0,1,2
U1076,0,2,0,0,2,0,2,1987,3,3,0,1,2
U1077,0,2,0,0,2,0,2,1987,3,3,0,1,2
U1078,1,2,2,2,0,1,1,1983,4,1,0,0,2
U1080,1,2,1,1,0,1,1,1987,4,1,0,1,1
U1081,0,1,2,0,2,1,1,1991,4,1,0,1,1
U1084,1,1,1,0,2,1,1,1991,4,3,0,1,2
U1086,0,2,3,0,0,1,1,1991,4,2,0,1,2
U1087,0,0,3,2,2,1,1,1989,4,3,0,1,2
U1088,0,2,2,0,1,1,1,1991,1,1,0,1,2
U1089,1,1,2,0,2,1,1,1990,4,0,0,1,1
U1090,0,2,3,1,0,1,1,1988,4,3,0,1,2
U1091,0,1,3,0,0,1,1,1989,0,3,4,1,1
U1093,1,1,3,0,0,1,1,1990,4,3,0,1,2
U1094,0,0,2,1,2,1,1,1991,4,3,0,1,2
U1095,0,0,1,0,2,0,1,1986,4,3,0,1,2
U1096,0,0,1,0,2,1,1,1990,0,1,0,1,2
U1097,0,0,1,0,2,1,1,1990,4,1,0,1,2
U1098,0,2,1,0,2,1,1,1991,1,3,0,1,2
U1099,1,2,2,0,2,1,1,1989,3,0,0,1,0
U1100,0,1,1,1,2,1,1,1990,0,1,1,1,2
U1101,0,1,3,1,0,1,1,1988,0,2,0,1,1
U1102,0,2,3,1,1,1,1,1989,0,0,4,1,1
U1103,0,0,1,1,2,1,1,1989,3,1,2,0,2
U1104,1,2,3,0,0,1,1,1991,3,2,0,1,2
U1105,0,2,1,0,2,1,1,1991,4,1,1,1,2
U1106,0,1,2,1,0,1,1,1930,3,1,0,0,2
U1108,0,0,2,2,2,1,1,1983,3,3,0,1,2
U1109,0,0,1,2,2,1,1,1989,0,3,0,1,1
U1110,0,0,3,0,0,1,1,1993,4,3,0,1,2
U1111,1,1,1,1,0,1,1,1991,1,1,0,1,2
U1112,1,1,1,1,0,1,1,1991,1,1,0,1,2
U1113,0,1,1,0,2,1,1,1990,1,3,0,1,2
U1114,0,0,3,0,1,1,1,1991,4,1,0,1,2
U1115,1,2,0,1,2,1,1,1990,4,1,0,1,1
U1116,0,2,1,0,2,0,2,1987,3,3,0,1,2
U1117,0,0,3,1,2,1,1,1982,3,3,0,0,2
U1118,1,1,2,1,2,1,1,1987,3,3,4,1,2
U1119,0,0,1,0,2,1,1,1992,0,3,0,1,2
U1120,0,0,2,1,2,1,1,1930,4,1,4,1,1
U1121,0,2,3,0,2,0,1,1987,4,3,0,3,2
U1124,0,1,2,1,2,1,1,1991,1,1,0,1,1
U1125,0,1,1,1,2,1,1,1990,3,1,0,1,1
U1126,0,1,1,1,1,1,1,1990,3,1,0,1,1
U1127,0,0,3,2,2,1,1,1992,4,1,0,1,1
U1128,0,1,3,1,2,1,1,1986,4,3,0,1,1
U1129,0,1,3,1,2,1,1,1989,4,3,4,1,1
U1131,1,2,3,1,0,0,2,1990,0,1,4,1,2
U1133,0,0,3,0,0,1,1,1991,1,1,4,1,2
U1134,0,1,3,0,2,1,1,1991,4,1,0,1,2
U1135,0,1,2,0,1,1,2,1988,4,2,0,1,1
U1136,1,2,3,1,0,1,1,1990,2,3,0,1,1
U1137,0,2,1,0,2,1,1,1989,0,1,0,1,1
U1138,0,2,1,1,2,1,1,1991,4,3,4,1,2
